               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.072046,            0.032675,           0.0050646,             0.70745,             0.77186,              0.7407,             0.26154,            0.066235,            0.025928,           0.0040798,             0.00307,             0.00307,             0.00307
                  37,            0.069308,            0.032397,           0.0049293,             0.64723,             0.62544,             0.66025,             0.36815,            0.065244,             0.02585,           0.0039217,            0.002872,            0.002872,            0.002872
                  38,            0.069064,            0.034076,           0.0039826,             0.64723,             0.62544,             0.66025,             0.36815,            0.065244,            0.025845,           0.0039217,            0.002674,            0.002674,            0.002674
                  39,            0.068783,            0.035677,           0.0046553,             0.69501,             0.66142,             0.67078,             0.39431,            0.064851,            0.025718,           0.0038667,            0.002476,            0.002476,            0.002476
                  40,            0.066173,            0.035085,           0.0043943,             0.80573,             0.84548,             0.82746,              0.3788,            0.060161,            0.025649,            0.003758,            0.002278,            0.002278,            0.002278
                  41,            0.062529,            0.030734,           0.0044719,              0.8425,             0.81712,               0.839,             0.44181,             0.05743,            0.025505,           0.0036741,             0.00208,             0.00208,             0.00208
                  42,            0.061992,            0.033255,           0.0051213,              0.8425,             0.81712,               0.839,             0.44181,             0.05743,            0.025505,           0.0036741,            0.001882,            0.001882,            0.001882
                  43,            0.060589,            0.035321,           0.0042867,             0.84943,             0.79106,             0.83715,             0.44051,             0.05752,            0.025506,           0.0036488,            0.001684,            0.001684,            0.001684
                  44,            0.058657,            0.032806,             0.00454,             0.87961,             0.85035,             0.87052,             0.46812,            0.053945,            0.025849,           0.0036161,            0.001486,            0.001486,            0.001486
                  45,            0.056749,            0.034842,            0.003424,             0.86097,             0.83955,             0.87341,             0.47708,             0.05285,            0.026161,           0.0035624,            0.001288,            0.001288,            0.001288
                  46,            0.056569,            0.031413,           0.0051672,             0.92097,             0.84388,             0.89685,             0.49698,            0.050219,            0.026428,           0.0035397,             0.00109,             0.00109,             0.00109
                  47,            0.055756,            0.035771,           0.0037433,             0.92097,             0.84388,             0.89685,             0.49698,            0.050219,            0.026432,           0.0035397,            0.000892,            0.000892,            0.000892
                  48,            0.056074,             0.03402,           0.0043951,              0.9189,             0.86092,             0.90108,             0.50971,            0.049934,            0.026353,           0.0035141,            0.000694,            0.000694,            0.000694
                  49,            0.056305,             0.03395,           0.0046764,             0.92148,             0.85035,              0.9039,             0.52268,            0.049532,            0.026166,           0.0034722,            0.000496,            0.000496,            0.000496
